sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,남,201812,968,1236,51271750
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,여,201812,664,840,20322700
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,남,201812,715,876,25917220
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,여,201812,17,33,385300
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,남,201812,15,17,270200
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,여,201812,439,498,9905150
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,남,201812,468,586,13045040
제주도,서귀포시,도심,교통,내국인관광객,60대이상,여,201812,262,316,17567459
제주도,서귀포시,도심,교통,내국인관광객,60대이상,남,201812,592,763,41331590
제주도,서귀포시,도심,교통,내국인관광객,50대,여,201812,558,676,30816343
제주도,서귀포시,도심,교통,내국인관광객,50대,남,201812,1086,1404,66244605
제주도,서귀포시,도심,교통,내국인관광객,40대,여,201812,662,791,32840445
제주도,서귀포시,도심,교통,내국인관광객,40대,남,201812,1404,1735,73910009
제주도,서귀포시,도심,교통,내국인관광객,30대,여,201812,873,977,34295276
제주도,서귀포시,도심,교통,내국인관광객,30대,남,201812,1347,1583,59880991
제주도,서귀포시,도심,교통,내국인관광객,20대미만,여,201812,5,6,259180
제주도,서귀포시,도심,교통,내국인관광객,20대미만,남,201812,5,5,150000
제주도,서귀포시,도심,교통,내국인관광객,20대,여,201812,626,673,20745412
제주도,서귀포시,도심,교통,내국인관광객,20대,남,201812,666,724,24590395
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,여,201811,40,52,4621800
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,남,201811,82,120,14998300
제주도,서귀포시,도심,유흥,내국인관광객,50대,여,201811,60,66,5774700
제주도,서귀포시,도심,유흥,내국인관광객,50대,남,201811,272,366,62126100
제주도,서귀포시,도심,유흥,내국인관광객,40대,여,201811,80,93,6192700
제주도,서귀포시,도심,유흥,내국인관광객,40대,남,201811,256,332,51459100
제주도,서귀포시,도심,유흥,내국인관광객,30대,여,201811,105,126,5899300
제주도,서귀포시,도심,유흥,내국인관광객,30대,남,201811,242,293,24501100
제주도,서귀포시,도심,유흥,내국인관광객,20대미만,여,201811,1,1,49900
제주도,서귀포시,도심,유흥,내국인관광객,20대미만,남,201811,1,1,32000
제주도,서귀포시,도심,유흥,내국인관광객,20대,여,201811,171,202,8724600
제주도,서귀포시,도심,유흥,내국인관광객,20대,남,201811,184,263,11749500
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,여,201811,2025,2697,112577583
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,남,201811,3391,4878,221583935
제주도,서귀포시,도심,식음료,내국인관광객,50대,여,201811,4117,5513,237599830
제주도,서귀포시,도심,식음료,내국인관광객,50대,남,201811,5934,9062,426691636
제주도,서귀포시,도심,식음료,내국인관광객,40대,여,201811,5570,7728,292189190
제주도,서귀포시,도심,식음료,내국인관광객,40대,남,201811,7894,11730,462209536
제주도,서귀포시,도심,식음료,내국인관광객,30대,여,201811,7603,10693,328239710
제주도,서귀포시,도심,식음료,내국인관광객,30대,남,201811,8589,12577,397910235
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,여,201811,127,220,2515970
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,남,201811,153,176,1733120
제주도,서귀포시,도심,식음료,내국인관광객,20대,여,201811,5952,8366,213830120
제주도,서귀포시,도심,식음료,내국인관광객,20대,남,201811,5036,7356,191456044
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,여,201811,232,293,47106546
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,남,201811,463,611,95513381
제주도,서귀포시,도심,숙박,내국인관광객,50대,여,201811,501,592,80123734
제주도,서귀포시,도심,숙박,내국인관광객,50대,남,201811,790,1008,161023316
제주도,서귀포시,도심,숙박,내국인관광객,40대,여,201811,768,968,128877980
제주도,서귀포시,도심,숙박,내국인관광객,40대,남,201811,1082,1411,189509146
제주도,서귀포시,도심,숙박,내국인관광객,30대,여,201811,1103,1379,188244613
제주도,서귀포시,도심,숙박,내국인관광객,30대,남,201811,1153,1450,193843000
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,여,201811,4,4,126400
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,남,201811,1,1,90000
제주도,서귀포시,도심,숙박,내국인관광객,20대,여,201811,647,728,77715764
제주도,서귀포시,도심,숙박,내국인관광객,20대,남,201811,446,527,49521401
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,여,201811,1593,3166,111933870
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,남,201811,2487,5071,131095100
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,여,201811,3236,6068,173587840
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,남,201811,5080,11098,245000260
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,여,201811,4447,8234,197315310
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,남,201811,7255,15698,297408940
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,여,201811,5613,9753,190847000
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,남,201811,7736,15750,250723660
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,여,201811,245,410,3443590
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,남,201811,340,566,2863410
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,여,201811,4609,8309,120723564
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,남,201811,5112,11231,127508040
제주도,서귀포시,도심,소매,내국인관광객,60대이상,여,201811,1042,1274,159388302
제주도,서귀포시,도심,소매,내국인관광객,60대이상,남,201811,1104,1394,168818763
제주도,서귀포시,도심,소매,내국인관광객,50대,여,201811,1630,2075,156620369
제주도,서귀포시,도심,소매,내국인관광객,50대,남,201811,1762,2344,165362782
제주도,서귀포시,도심,소매,내국인관광객,40대,여,201811,1908,2449,105688608
제주도,서귀포시,도심,소매,내국인관광객,40대,남,201811,2076,2783,124122779
제주도,서귀포시,도심,소매,내국인관광객,30대,여,201811,2307,3141,99397813
제주도,서귀포시,도심,소매,내국인관광객,30대,남,201811,2261,3149,104040781
제주도,서귀포시,도심,소매,내국인관광객,20대미만,여,201811,103,118,1567200
제주도,서귀포시,도심,소매,내국인관광객,20대미만,남,201811,74,78,934650
제주도,서귀포시,도심,소매,내국인관광객,20대,여,201811,1943,3004,66311834
제주도,서귀포시,도심,소매,내국인관광객,20대,남,201811,1196,1736,41411740
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,여,201811,212,264,15776250
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,남,201811,442,603,55370780
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,여,201811,453,573,30115710
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,남,201811,828,1008,80994210
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,여,201811,601,745,29683535
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,남,201811,937,1148,64534630
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,여,201811,619,778,19845475
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,남,201811,711,936,28644330
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,여,201811,10,23,173500
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,남,201811,5,5,87900
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,여,201811,398,461,9749100
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,남,201811,451,559,11975400
제주도,서귀포시,도심,교통,내국인관광객,60대이상,여,201811,297,352,20185967
제주도,서귀포시,도심,교통,내국인관광객,60대이상,남,201811,698,898,48715236
제주도,서귀포시,도심,교통,내국인관광객,50대,여,201811,592,715,35201780
제주도,서귀포시,도심,교통,내국인관광객,50대,남,201811,1112,1432,69590932
제주도,서귀포시,도심,교통,내국인관광객,40대,여,201811,686,842,33727175
제주도,서귀포시,도심,교통,내국인관광객,40대,남,201811,1361,1716,75097083
제주도,서귀포시,도심,교통,내국인관광객,30대,여,201811,836,947,34248826
제주도,서귀포시,도심,교통,내국인관광객,30대,남,201811,1300,1542,60542319
제주도,서귀포시,도심,교통,내국인관광객,20대미만,여,201811,5,9,413040
제주도,서귀포시,도심,교통,내국인관광객,20대미만,남,201811,3,3,71000
제주도,서귀포시,도심,교통,내국인관광객,20대,여,201811,495,543,17951608
제주도,서귀포시,도심,교통,내국인관광객,20대,남,201811,544,612,20977290
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,여,201810,31,41,4232300
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,남,201810,86,117,16892700
제주도,서귀포시,도심,유흥,내국인관광객,50대,여,201810,82,97,6484400
제주도,서귀포시,도심,유흥,내국인관광객,50대,남,201810,258,348,59689600
제주도,서귀포시,도심,유흥,내국인관광객,40대,여,201810,86,107,7077100
제주도,서귀포시,도심,유흥,내국인관광객,40대,남,201810,266,362,56635600
제주도,서귀포시,도심,유흥,내국인관광객,30대,여,201810,117,141,6395750
제주도,서귀포시,도심,유흥,내국인관광객,30대,남,201810,245,311,24335100
제주도,서귀포시,도심,유흥,내국인관광객,20대미만,여,201810,1,1,12000
제주도,서귀포시,도심,유흥,내국인관광객,20대미만,남,201810,1,2,26900
제주도,서귀포시,도심,유흥,내국인관광객,20대,여,201810,157,189,7051700
제주도,서귀포시,도심,유흥,내국인관광객,20대,남,201810,243,328,14538800
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,여,201810,2222,2900,131679090
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,남,201810,3502,4931,231224866
제주도,서귀포시,도심,식음료,내국인관광객,50대,여,201810,4297,5764,245503300
제주도,서귀포시,도심,식음료,내국인관광객,50대,남,201810,6158,9434,419604995
제주도,서귀포시,도심,식음료,내국인관광객,40대,여,201810,6160,8430,324242369
제주도,서귀포시,도심,식음료,내국인관광객,40대,남,201810,9113,13576,527556210
제주도,서귀포시,도심,식음료,내국인관광객,30대,여,201810,9152,12539,401471790
제주도,서귀포시,도심,식음료,내국인관광객,30대,남,201810,10480,15100,500544400
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,여,201810,389,457,3901700
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,남,201810,435,486,4556380
제주도,서귀포시,도심,식음료,내국인관광객,20대,여,201810,6352,9052,235528048
제주도,서귀포시,도심,식음료,내국인관광객,20대,남,201810,5725,8560,219376909
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,여,201810,268,358,61316698
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,남,201810,493,614,121386691
제주도,서귀포시,도심,숙박,내국인관광객,50대,여,201810,537,644,102964221
제주도,서귀포시,도심,숙박,내국인관광객,50대,남,201810,840,1037,149956831
제주도,서귀포시,도심,숙박,내국인관광객,40대,여,201810,817,1009,136588296
제주도,서귀포시,도심,숙박,내국인관광객,40대,남,201810,1320,1664,265156262
제주도,서귀포시,도심,숙박,내국인관광객,30대,여,201810,1342,1643,271203059
제주도,서귀포시,도심,숙박,내국인관광객,30대,남,201810,1404,1834,309668986
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,여,201810,20,21,657024
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,남,201810,12,12,483300
제주도,서귀포시,도심,숙박,내국인관광객,20대,여,201810,694,819,93532269
제주도,서귀포시,도심,숙박,내국인관광객,20대,남,201810,486,597,56047259
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,여,201810,1745,3579,123691460
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,남,201810,2575,5621,144707230
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,여,201810,3448,6593,193686205
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,남,201810,5191,11617,250655040
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,여,201810,5004,9294,228330650
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,남,201810,8430,17716,339614500
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,여,201810,6800,11508,230579440
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,남,201810,9484,18675,314066250
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,여,201810,722,1131,5136370
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,남,201810,1057,1576,7493540
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,여,201810,4849,8781,135728210
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,남,201810,6167,15469,159169170
제주도,서귀포시,도심,소매,내국인관광객,60대이상,여,201810,1031,1314,170761450
제주도,서귀포시,도심,소매,내국인관광객,60대이상,남,201810,1056,1292,142827197
제주도,서귀포시,도심,소매,내국인관광객,50대,여,201810,1662,2130,152604864
제주도,서귀포시,도심,소매,내국인관광객,50대,남,201810,1605,2115,135742706
제주도,서귀포시,도심,소매,내국인관광객,40대,여,201810,2044,2637,122591295
제주도,서귀포시,도심,소매,내국인관광객,40대,남,201810,2369,3222,126951419
제주도,서귀포시,도심,소매,내국인관광객,30대,여,201810,2688,3666,116103947
제주도,서귀포시,도심,소매,내국인관광객,30대,남,201810,2704,3794,118132254
제주도,서귀포시,도심,소매,내국인관광객,20대미만,여,201810,297,362,4303800
제주도,서귀포시,도심,소매,내국인관광객,20대미만,남,201810,246,280,3397100
제주도,서귀포시,도심,소매,내국인관광객,20대,여,201810,1932,2755,60398546
제주도,서귀포시,도심,소매,내국인관광객,20대,남,201810,1262,1835,45577620
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,여,201810,211,260,13818540
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,남,201810,487,664,52665904
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,여,201810,457,541,32170100
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,남,201810,826,1013,93523080
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,여,201810,693,825,34169600
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,남,201810,1141,1379,75201104
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,여,201810,751,868,23684643
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,남,201810,846,1007,29252140
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,여,201810,35,46,401300
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,남,201810,24,26,558900
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,여,201810,407,442,11162650
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,남,201810,635,797,19457600
제주도,서귀포시,도심,교통,내국인관광객,60대이상,여,201810,328,397,23563530
제주도,서귀포시,도심,교통,내국인관광객,60대이상,남,201810,681,870,48377529
제주도,서귀포시,도심,교통,내국인관광객,50대,여,201810,641,804,38874433
제주도,서귀포시,도심,교통,내국인관광객,50대,남,201810,1183,1528,74098026
제주도,서귀포시,도심,교통,내국인관광객,40대,여,201810,818,973,40762435
제주도,서귀포시,도심,교통,내국인관광객,40대,남,201810,1665,2068,90937238
제주도,서귀포시,도심,교통,내국인관광객,30대,여,201810,1019,1160,41746562
제주도,서귀포시,도심,교통,내국인관광객,30대,남,201810,1645,1926,72876815
제주도,서귀포시,도심,교통,내국인관광객,20대미만,여,201810,7,7,259160
제주도,서귀포시,도심,교통,내국인관광객,20대,여,201810,595,649,22172643
제주도,서귀포시,도심,교통,내국인관광객,20대,남,201810,631,707,25005167
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,여,201809,30,41,4618000
제주도,서귀포시,도심,유흥,내국인관광객,60대이상,남,201809,79,106,15848350
제주도,서귀포시,도심,유흥,내국인관광객,50대,여,201809,67,83,6499500
제주도,서귀포시,도심,유흥,내국인관광객,50대,남,201809,258,348,60922800
제주도,서귀포시,도심,유흥,내국인관광객,40대,여,201809,83,101,7477700
제주도,서귀포시,도심,유흥,내국인관광객,40대,남,201809,282,370,58584600
제주도,서귀포시,도심,유흥,내국인관광객,30대,여,201809,161,196,8172908
제주도,서귀포시,도심,유흥,내국인관광객,30대,남,201809,376,508,36767400
제주도,서귀포시,도심,유흥,내국인관광객,20대,여,201809,205,276,8912500
제주도,서귀포시,도심,유흥,내국인관광객,20대,남,201809,267,376,17520420
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,여,201809,2041,2760,117854995
제주도,서귀포시,도심,식음료,내국인관광객,60대이상,남,201809,3217,4607,212975748
제주도,서귀포시,도심,식음료,내국인관광객,50대,여,201809,4035,5375,230087100
제주도,서귀포시,도심,식음료,내국인관광객,50대,남,201809,5916,8784,390463858
제주도,서귀포시,도심,식음료,내국인관광객,40대,여,201809,6127,8555,316890380
제주도,서귀포시,도심,식음료,내국인관광객,40대,남,201809,9148,13515,518446865
제주도,서귀포시,도심,식음료,내국인관광객,30대,여,201809,10651,14457,463932664
제주도,서귀포시,도심,식음료,내국인관광객,30대,남,201809,12507,17455,570211610
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,여,201809,211,307,3411050
제주도,서귀포시,도심,식음료,내국인관광객,20대미만,남,201809,228,245,3197950
제주도,서귀포시,도심,식음료,내국인관광객,20대,여,201809,7984,10855,280175691
제주도,서귀포시,도심,식음료,내국인관광객,20대,남,201809,6395,9352,239429895
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,여,201809,217,277,61251807
제주도,서귀포시,도심,숙박,내국인관광객,60대이상,남,201809,391,524,84612975
제주도,서귀포시,도심,숙박,내국인관광객,50대,여,201809,430,528,65628241
제주도,서귀포시,도심,숙박,내국인관광객,50대,남,201809,715,964,157407225
제주도,서귀포시,도심,숙박,내국인관광객,40대,여,201809,766,976,149658401
제주도,서귀포시,도심,숙박,내국인관광객,40대,남,201809,1189,1615,279221436
제주도,서귀포시,도심,숙박,내국인관광객,30대,여,201809,1462,1859,268696307
제주도,서귀포시,도심,숙박,내국인관광객,30대,남,201809,1692,2202,331231705
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,여,201809,9,10,125500
제주도,서귀포시,도심,숙박,내국인관광객,20대미만,남,201809,12,17,602397
제주도,서귀포시,도심,숙박,내국인관광객,20대,여,201809,874,1018,104098296
제주도,서귀포시,도심,숙박,내국인관광객,20대,남,201809,542,637,66306023
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,여,201809,1679,3376,114601820
제주도,서귀포시,도심,쇼핑,내국인관광객,60대이상,남,201809,2413,5180,145308110
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,여,201809,3211,6194,182783425
제주도,서귀포시,도심,쇼핑,내국인관광객,50대,남,201809,4834,10752,239401340
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,여,201809,4905,8982,229848500
제주도,서귀포시,도심,쇼핑,내국인관광객,40대,남,201809,8283,17391,349130050
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,여,201809,7674,12668,263301510
제주도,서귀포시,도심,쇼핑,내국인관광객,30대,남,201809,10693,20375,347737927
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,여,201809,348,624,3699880
제주도,서귀포시,도심,쇼핑,내국인관광객,20대미만,남,201809,526,888,4385960
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,여,201809,5772,9637,138299771
제주도,서귀포시,도심,쇼핑,내국인관광객,20대,남,201809,6216,13900,154944110
제주도,서귀포시,도심,소매,내국인관광객,60대이상,여,201809,818,1051,105013550
제주도,서귀포시,도심,소매,내국인관광객,60대이상,남,201809,973,1244,123341151
제주도,서귀포시,도심,소매,내국인관광객,50대,여,201809,1536,1986,118707370
제주도,서귀포시,도심,소매,내국인관광객,50대,남,201809,1448,1936,128886754
제주도,서귀포시,도심,소매,내국인관광객,40대,여,201809,1860,2504,100749054
제주도,서귀포시,도심,소매,내국인관광객,40대,남,201809,2203,3023,129866453
제주도,서귀포시,도심,소매,내국인관광객,30대,여,201809,2978,4068,124361237
제주도,서귀포시,도심,소매,내국인관광객,30대,남,201809,2963,4018,129673935
제주도,서귀포시,도심,소매,내국인관광객,20대미만,여,201809,171,221,3293470
제주도,서귀포시,도심,소매,내국인관광객,20대미만,남,201809,107,121,1807700
제주도,서귀포시,도심,소매,내국인관광객,20대,여,201809,2278,3152,64489616
제주도,서귀포시,도심,소매,내국인관광객,20대,남,201809,1438,1957,43651840
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,여,201809,192,223,11303710
제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,남,201809,356,484,44860280
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,여,201809,396,507,21858460
제주도,서귀포시,도심,문화/레져,내국인관광객,50대,남,201809,728,937,72618910
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,여,201809,640,767,28048265
제주도,서귀포시,도심,문화/레져,내국인관광객,40대,남,201809,1052,1354,65671010
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,여,201809,818,1018,28523700
제주도,서귀포시,도심,문화/레져,내국인관광객,30대,남,201809,940,1207,33834391
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,여,201809,26,43,538500
제주도,서귀포시,도심,문화/레져,내국인관광객,20대미만,남,201809,20,21,293100
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,여,201809,447,506,12933690
제주도,서귀포시,도심,문화/레져,내국인관광객,20대,남,201809,596,756,20297721
제주도,서귀포시,도심,교통,내국인관광객,60대이상,여,201809,285,333,16405971
제주도,서귀포시,도심,교통,내국인관광객,60대이상,남,201809,612,739,37415321
제주도,서귀포시,도심,교통,내국인관광객,50대,여,201809,624,732,34803885
제주도,서귀포시,도심,교통,내국인관광객,50대,남,201809,1077,1373,66274233
제주도,서귀포시,도심,교통,내국인관광객,40대,여,201809,816,950,37817000
제주도,서귀포시,도심,교통,내국인관광객,40대,남,201809,1656,1975,85651240
제주도,서귀포시,도심,교통,내국인관광객,30대,여,201809,1251,1397,51702219
제주도,서귀포시,도심,교통,내국인관광객,30대,남,201809,1920,2188,81630988
제주도,서귀포시,도심,교통,내국인관광객,20대미만,여,201809,8,11,518360
제주도,서귀포시,도심,교통,내국인관광객,20대,여,201809,700,750,23689917
제주도,서귀포시,도심,교통,내국인관광객,20대,남,201809,821,900,28960742
