sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
제주도,제주시,읍면,유흥,내국인관광객,60대이상,여,201812,16,21,4474000
제주도,제주시,읍면,유흥,내국인관광객,60대이상,남,201812,45,59,8459100
제주도,제주시,읍면,유흥,내국인관광객,50대,여,201812,38,47,4403500
제주도,제주시,읍면,유흥,내국인관광객,50대,남,201812,136,174,23659532
제주도,제주시,읍면,유흥,내국인관광객,40대,여,201812,60,74,5511100
제주도,제주시,읍면,유흥,내국인관광객,40대,남,201812,126,187,25387500
제주도,제주시,읍면,유흥,내국인관광객,30대,여,201812,97,104,3084850
제주도,제주시,읍면,유흥,내국인관광객,30대,남,201812,147,180,14373060
제주도,제주시,읍면,유흥,내국인관광객,20대미만,여,201812,2,2,62000
제주도,제주시,읍면,유흥,내국인관광객,20대미만,남,201812,1,2,360000
제주도,제주시,읍면,유흥,내국인관광객,20대,여,201812,162,173,4591600
제주도,제주시,읍면,유흥,내국인관광객,20대,남,201812,91,108,3988600
제주도,제주시,읍면,식음료,내국인관광객,60대이상,여,201812,1439,2077,79170850
제주도,제주시,읍면,식음료,내국인관광객,60대이상,남,201812,2406,3860,151889500
제주도,제주시,읍면,식음료,내국인관광객,50대,여,201812,4060,5973,195317360
제주도,제주시,읍면,식음료,내국인관광객,50대,남,201812,5587,9062,325086394
제주도,제주시,읍면,식음료,내국인관광객,40대,여,201812,5423,8336,258896960
제주도,제주시,읍면,식음료,내국인관광객,40대,남,201812,6720,11155,377360139
제주도,제주시,읍면,식음료,내국인관광객,30대,여,201812,9107,14294,377362353
제주도,제주시,읍면,식음료,내국인관광객,30대,남,201812,9316,14616,415892612
제주도,제주시,읍면,식음료,내국인관광객,20대미만,여,201812,180,293,6309450
제주도,제주시,읍면,식음료,내국인관광객,20대미만,남,201812,148,231,5042150
제주도,제주시,읍면,식음료,내국인관광객,20대,여,201812,11321,17650,407825240
제주도,제주시,읍면,식음료,내국인관광객,20대,남,201812,7095,10669,258732290
제주도,제주시,읍면,숙박,내국인관광객,60대이상,여,201812,94,129,12809940
제주도,제주시,읍면,숙박,내국인관광객,60대이상,남,201812,191,279,26505163
제주도,제주시,읍면,숙박,내국인관광객,50대,여,201812,307,367,33190942
